id,title,redirect_url,company,location,description,category,salary_max,contract_type,salary_min,contract_time
5120348777,Jr/Sr/Lead Golang Developer,https://www.adzuna.in/details/5120348777?utm_medium=api&utm_source=6a80409c,TalentOla,India,"We have openings for Jr.Golang Developer 4-7yrs Sr. Golang Developer 7-10yrs Golang Lead 10-14yrs Locations : Pune & Bengaluru Job Description: Design, develop, and implement Golang-based APIs for telecom services and integrations. Collaborate with solution architects and product teams to understand technical requirements and develop efficient solutions. Work with AWS cloud services, including API Management, Aws Functions Develop RESTful and gRPC APIs, ensuring high availability, scalability, …",IT Jobs,,,,
5121259619,Customer Service Representative,https://www.adzuna.in/details/5121259619?utm_medium=api&utm_source=6a80409c,Patch Up Health,India,"Join a fast-growing health supplement startup as a Customer Experience Executive We’re seeking a passionate professional to enhance customer satisfaction and drive sales. Responsibilities Customer Service Responsibilities list: ✅ Make outbound calls for feedback, upselling & cross-selling ✅ Address customer queries & grievances professionally ✅ Build strong customer relationships and ensure retention ✅ Maintain accurate records of interactions & sales ✅ Collaborate with teams for seamless custo…",Customer Services Jobs,,,,
5122681735,"Required Senior Finance Executive Maharastra ,Mumbai",https://www.adzuna.in/details/5122681735?utm_medium=api&utm_source=6a80409c,EducoHire,"Bazargate, Mumbai","1. • Financial Planning & Analysis (FP&A): o Lead the development and execution of the annual budget, long-range financial plans, and rolling forecasts. o Conduct in-depth analysis of financial performance against budget, forecast, and prior periods, identifying key trends, risks, and opportunities. o Develop robust financial models to support strategic initiatives and business case development. o Provide timely and accurate monthly, quarterly, and annual financial reports to management and sta…",Accounting & Finance Jobs,80000.0,permanent,70000.0,
5121031492,Internship Opportunity - Human Resource,https://www.adzuna.in/details/5121031492?utm_medium=api&utm_source=6a80409c,Walking Tree,"Chakala Midc, Mumbai","About Us: Walking Tree is a leading global jewellery design, innovation and consumer thinking group, with both B2B and B2C verticals. Established in 2010, we have experienced rapid growth, with a diverse team of over 2500 members globally across Mumbai, Paris, Geneva, New York, Hongkong & China The group has exceptional capabilities in luxury, premium as well as mass manufacturing, and offers a range of products, services and solutions tailored to its global network of retailers, brands and des…",HR & Recruitment Jobs,,contract,,
5120491210,Marketing Executive - Data Collection,https://www.adzuna.in/details/5120491210?utm_medium=api&utm_source=6a80409c,Harmony United Psychiatric Care,"Golconda, Hyderabad","Job Title: Marketing Executive – Data Collection Location: Hyderabad, Telangana Company: Harmony United Medsolutions Pvt. Ltd. About Us: Harmony United Medsolutions Pvt. Ltd. [HUMS] is a dynamic and innovative company dedicated to revolutionizing the Healthcare Industry. We at HUMS take pride in being a reliable partner as a Healthcare Management Company. With nine years of experience, we have perfected our end-to-end services in medical billing, A.R. management, and other essential healthcare …","PR, Advertising & Marketing Jobs",,,,
5122718273,Health Admin Services Representative- Voice Exp,https://www.adzuna.in/details/5122718273?utm_medium=api&utm_source=6a80409c,Trigent Software Private Limited,India,Need candidates with Experience in Customer support Voice process. Full time graduates only Flexible with Shifts preferably Night shift Candidate should be within Hiring Zone Flexible to work from office NP - Immediate to 15 days Work location - Airoli,Customer Services Jobs,36000.0,,36000.0,
5122282381,Specialist - Customer Onboarding,https://www.adzuna.in/details/5122282381?utm_medium=api&utm_source=6a80409c,Freshworks,"Chennai, Tamil Nadu","Job Description Job Summary: We are seeking a detail-oriented and customer-focused Onboarding Specialist for Freshworks Professional Services to guide customers through the onboarding process, ensuring they successfully adopt and integrate our ITSM product, Freshservice. This role requires strong communication, basic project management, and problem-solving skills to support customers from initial setup to full operational use of our solutions. Key Responsibilities: Serve as the primary point of…",IT Jobs,,,,
5121582474,Data Scientist (AI/ML),https://www.adzuna.in/details/5121582474?utm_medium=api&utm_source=6a80409c,Weekday AI,India,"This role is for one of the Weekday's clients Salary range: Rs 1300000 - Rs 4500000 (ie INR 13-45 LPA) Min Experience: 5 years Location: Mumbai, Navi Mumbai JobType: full-time We are seeking a skilled Data Scientist to collect, analyze, and process large datasets, leveraging machine learning and statistical techniques to drive business insights. The ideal candidate will develop predictive models, optimize data pipelines, and collaborate with cross-functional teams to integrate data-driven solut…",IT Jobs,,,,full_time
5120490995,Fashion designer Intern,https://www.adzuna.in/details/5120490995?utm_medium=api&utm_source=6a80409c,Naukripay,"Shakti Nagar, North Delhi","mail:- infonaukripay.com Fashion Designer Intern, you'll assist in various design tasks, research trends, and learn about the industry, potentially including tasks like creating mood boards, assisting with fabric sourcing, and helping with sample creation, while gaining valuable experience in a fast-paced environment. Here's a more detailed breakdown of what a Fashion Designer Intern might do: Core Responsibilities: Design Assistance: Assist in creating mood boards and concept boards. Help with…",Creative & Design Jobs,20000.0,permanent,15000.0,
5122681997,Field Executive || Bangalore,https://www.adzuna.in/details/5122681997?utm_medium=api&utm_source=6a80409c,2coms,"Richmond Town, Bangalore","We have an Excellent Opportunity for Male Candidates for the Field Clinical Coordinator Role. About Client: ""Our client is regarded as one of the fastest-growing health startups in India and globally. They are set to transform healthcare in India with the power of Connected Healthcare and are the pioneers in remote patient monitoring. Their unique AI-based early warning system and connected bed technology lead the Way. Role: Field Clinical Coordinator Roles And Responsibilities:- We are seeking…",Healthcare & Nursing Jobs,300000.0,contract,200000.0,
5122284058,General Maintenance Technician - Plumber| NLG,https://www.adzuna.in/details/5122284058?utm_medium=api&utm_source=6a80409c,NOVOTEL,"Lucknow, Uttar Pradesh",Job Description Assist the Duty Engineer & other team members of Engineering in maintenance and care of all the equipment. Maintain quality of work in order to meet the standards. To control and check all the equipment. Ensure to work according to the policies and procedures of the hotel. Ensure to handle and maintain all equipments properly. Any matter which may effect the interests of hotel should be brought to the attention of the Management. To abide by the mission statement of the Company …,Engineering Jobs,,,,
5121259624,(SEO) Specialist,https://www.adzuna.in/details/5121259624?utm_medium=api&utm_source=6a80409c,Talent Worx,India,"Talent Worx is searching for an enthusiastic SEO Specialist to join our marketing team. The ideal candidate will have a strong background in search engine optimization, digital marketing, and a passion for driving organic traffic to our clients’ websites. You will be responsible for implementing SEO strategies that improve visibility, increase traffic, and enhance user experience. Key Responsibilities: Conduct keyword research and analysis to identify target keywords and content opportunities. …",IT Jobs,,,,full_time
5120491233,Head - Finance / CFO Job in Jharkhand,https://www.adzuna.in/details/5120491233?utm_medium=api&utm_source=6a80409c,TestHiring,"Hazaribag, Jharkhand","We are looking for experienced talent from the Thermal Power Industry for the positions of Head - Finance / CFO for Jharkhand Power Plant project. Requirements: Chartered Accountant with around 20-25 years of experience in project finance, capital planning, project appraisal & preparation of financial models, fund raising, project contracts, risk management, commercial negotiations and experience of around 5 years in the Thermal Power Industry.",Accounting & Finance Jobs,,permanent,,
5122284297,Senior Team Lead,https://www.adzuna.in/details/5122284297?utm_medium=api&utm_source=6a80409c,Bosch Group,"Pune, Maharashtra","Job Description Description: Bosch Global Software Solutions is seeking a detail-oriented Business Presentation Specialist to join our team. We are seeking a highly skilled and experienced Senior Team Lead to oversee multiple teams, manage project deliveries, track progress, and ensure seamless execution. The ideal candidate will be responsible for driving performance, maintaining quality standards, and ensuring timely project completion while managing billing and reporting activities. This rol…",IT Jobs,,,,
5122281980,Lead Software Engineer,https://www.adzuna.in/details/5122281980?utm_medium=api&utm_source=6a80409c,insightsoftware,"Bangalore, Karnataka","Job Description Job Description In this role, we are seeking a highly skilled and dedicated individual to join and technically lead our dynamic and high-performing web development team. This role is ideal for a technically strong professional with expertise in Node.js, JavaScript, React, CSS, web technologies, database and backend technologies such as Java. You must be passionate about delivering high-quality, defect-free solutions in an Agile/Scrum environment and mentoring junior engineers in…",IT Jobs,,,,
5120491002,Receptionist,https://www.adzuna.in/details/5120491002?utm_medium=api&utm_source=6a80409c,Naukripay,"Phul, Bathinda","mail:- infonaukripay.com sales executive's job is to meet sales targets by finding new customers, maintaining existing client relationships, and negotiating deals. They also need to analyze sales data and market trends. Responsibilities Prospecting: Identify new business opportunities and potential customers Negotiating: Negotiate pricing, contracts, and other terms with customers Closing deals: Close sales deals in a timely manner Client relationships: Build and maintain strong relationships w…",Sales Jobs,25000.0,permanent,15000.0,
5122718298,Digital Marketing Advisor_CL-12,https://www.adzuna.in/details/5122718298?utm_medium=api&utm_source=6a80409c,Trigent Software Private Limited,India,"Job Description: We are seeking a meticulous and detail-oriented Ad Trafficker to join our team. In this role, you will be responsible for trafficking, monitoring, and optimizing digital ad campaigns across various platforms. You will work closely with the advertising, creative, and technical teams to ensure the seamless execution of digital ads, ensuring they are delivered on time, error-free, and meet campaign objectives Key Responsibilities: o Ad Campaign Setup: Trafficking digital ads acros…","PR, Advertising & Marketing Jobs",360000.0,,360000.0,
5120491004,Junior accountant,https://www.adzuna.in/details/5120491004?utm_medium=api&utm_source=6a80409c,Naukripay,"Sirhind, Patiala","mail:- infonaukripay.com Junior Accountant assists in managing financial records, preparing reports, and conducting reconciliations, supporting senior accounting staff, and ensuring the accuracy and integrity of financial information. Key Responsibilities of a Junior Accountant: Data Entry and Record Keeping: Accurately record and maintain financial transactions, journals, and ledgers. Financial Reporting: Assist in preparing financial statements, reports, and budgets. Accounts Payable and Rece…",Accounting & Finance Jobs,20000.0,permanent,15000.0,
5120863035,Data Quality Analyst,https://www.adzuna.in/details/5120863035?utm_medium=api&utm_source=6a80409c,IntegriChain,"Pune, Maharashtra","Job Description Duties: Execute a data quality testing framework to validate data at various stages of the processing lifecycle Hands-on with test preparation and execution in the Agile and DevOps environment Become familiar with Integrichain’s products, data sets, and processing pipelines. Coordinate with subject matter experts to develop, maintain, and validate test scenarios. Meet with internal stakeholders to review current testing approaches and provide feedback on ways to improve / extend…",IT Jobs,,,,
5122708916,Java FullStack Developer,https://www.adzuna.in/details/5122708916?utm_medium=api&utm_source=6a80409c,TalentOla,India,"Hands on with Java 8 plus versions Good Working knowledge and Web Framework experience with Spring MVC, JPA , Spring Boot, Hibernate and Micro services. Strong hands experience on one of the JS frameworks Angular 8 (or )React JS Hands on experience with Relational (PL-SQL/Oracle/SQL Server) and NOSQL databases (Mongo DB / Cassandra) - Hands on with Rest based web services. Working experience in developing web services using HTTP REST/JSON . Strong coding skills , unit testing with experience in…",IT Jobs,,,,
5122844676,IT Administrator,https://www.adzuna.in/details/5122844676?utm_medium=api&utm_source=6a80409c,AION,India,"About AION AION is building the next generation of AI cloud platform by transforming the future of high-performance computing (HPC) through its decentralized AI cloud. Purpose-built for bare-metal performance, AION democratizes access to compute power for AI training, fine-tuning, inference, data labeling, and beyond. By leveraging underutilized resources such as idle GPUs and data centers, AION provides a scalable, cost-effective, and sustainable solution tailored for developers, researchers, …",IT Jobs,,,,full_time
5122682302,Sales Manager,https://www.adzuna.in/details/5122682302?utm_medium=api&utm_source=6a80409c,KBROS ARISTO INDIA PVT LTD,"Kannur, Kerala","Senior Sales Manager | Sales Manager Job Description: The Senior Sales Manager’s role is to focus on managing and nurturing existing B2B relationships with architects, interior designers, and key clients. You will oversee the order management process, lead negotiations, and provide consistent service that fosters long-term client retention and repeat business. Qualifications: ● 2-7 years of B2B sales experience (specifically in interior design, furniture, or building materials) ● Proven experie…",Sales Jobs,30000.0,permanent,25000.0,
5121176001,Configurations Manager // 3-6 years // Mumbai,https://www.adzuna.in/details/5121176001?utm_medium=api&utm_source=6a80409c,2coms,"Powai Iit, Mumbai","Configuration Manager About the Company: Our client is a leading IT Technology & Services Management MNC, dedicated to providing cutting-edge IT solutions to a diverse range of internal and external clients. They are committed to spearheading digital innovations in the insurance sector and have strong affiliations with a major insurance group in Germany and Europe. With operations in 26 countries worldwide, the group focuses extensively on Europe and Asia, offering a comprehensive suite of insu…",IT Jobs,1800000.0,permanent,1500000.0,
5121031494,Azure Edge Cloud Engineer,https://www.adzuna.in/details/5121031494?utm_medium=api&utm_source=6a80409c,Mindera,India,"At Mindera, we are building a world-class team and would love you to join us as an Azure Edge Cloud Engineer. In this role, you will work at the intersection of cloud infrastructure and edge computing, helping to design and implement innovative solutions that leverage Azure's capabilities. Your expertise will contribute to the creation of scalable and reliable cloud-based systems, with an emphasis on performance and security. You will be collaborating with cross-functional teams to develop and …",IT Jobs,,,,full_time
5122284481,Sr. Finance Analyst(IT SOX Auditor),https://www.adzuna.in/details/5122284481?utm_medium=api&utm_source=6a80409c,Visa,"Bangalore, Karnataka","Job Description We are seeking an ambitious and dynamic Sr. IT SOX Auditor to become part of our Global SOX Team located in Bangalore. The main objective of the role involves evaluating the scope, design of in-scope SOX controls and testing their effectiveness. This role involves responsibility for understanding various complex IT and business processes in accordance with the plan. The Sr. IT SOX Auditor should expect to assume a leading role in managing the completion of the SOX 404 program un…",IT Jobs,,,,
5122281997,Talent & Culture Co-ordinator / Executive | NLG,https://www.adzuna.in/details/5122281997?utm_medium=api&utm_source=6a80409c,AccorHotel,"Lucknow, Uttar Pradesh","Job Description Communicate and support company policies & procedures to maintain high employee morale and motivation, and ensure an atmosphere of participative management. Ensure optimum service through the effective communication of policies and procedures to all employees. To recommend, implement, formulate and execute organizations policies, procedures, rules, regulations and programs for all the employees To assist the Talent & Culture Manager in ensuring that the Personnel functions are c…",HR & Recruitment Jobs,,,,
